title,lyrics
Карапуз,"Улыбнулась незнакомка, улыбнулся я в ответ,
Глупо было бы мне этот упустить момент,
Веришь, нет, но я желаю познакомиться с тобой,
Ты красивая такая, Боже мой!

Припев:

Провожая ее взглядом, молча думал я:
""Пять минут назад она была почти моя,
Вот ведь глупая, такая неразумная,
Побежала к карапузу, как безумная,
Безумная...""

Мы смотрели очень долго друг на друга, чуть дыша,
К ней все ближе подходил я, не спеша,
Но толстяк с бородкой рыжей на дороге вдруг возник,
И она к нему помчалась в тот же миг.

(Припев)  "
Спятил отец,"Кругом одни дельцы и не с кем детям поиграть,
А ведь у них уже давно потехи час.
Но вот пришел отец и хочет уходить опять,
Они ему кричат: ""Ну, посмотри на нас!!!""

Припев:

Спятил отец, а значит нам конец,
Он все это долго терпел,
Вот так беда, спасайся кто куда,
Его оторвали от дел.

А что ему до них? Он очень важный человек.
Ведь подчиненных у него, как крыс.
К нему со всей душой, а он же головою в снег,
К нему со всей душой, а он: ""А ну-ка, брысь!""

(Припев)

Он в них швыряет стулья, он ломает шалаши,
Он им грозится руки оторвать,
""Вы просто дьяволята, а никак не малыши!""
Но довели папашу, вашу мать!!!

(Припев)  "
Ведьма и осёл,"В детстве цыганка мне одна
Предсказала будто я,
Если сильно полюблю,
То любимого сгублю,
Что измены не прощу
И жестоко отомщу:
Не специально, но со зла
Превращу его в осла.

Он очень милым парнем был,
Но зачем он изменил?
И тогда все началось,
Предсказание сбылось,
И внезапно над собой
Потеряла я контроль
И несчастный стал стонать,
Серой шерстью обрастать.

Припев:

Ведьма я, эх, ведьма я,
Такая вот нелегкая судьба моя,
Силой я наделена,
Но на беду любовь моя обречена.

И мой любимый навсегда
Жить остался у меня.
И за мною по пятам
Он ходил и тут и там.
Замечала я порой,
Как страдает милый мой,
И жалела я осла -
На лугу его посла.

Я все хотела как-нибудь
Облик милого вернуть,
Я старалась, как могла,
Но ничем не помогла.
Он копытами стучал,
По ослиному кричал,
И хвостом своим вертел,
Человеком быть хотел...

(Припев)

Лишь понял он, что обречен
До заката своих дней
Быть страдающим ослом
Под опекою моей,
И в итоге, наконец,
Он приблизил свой конец:
Что-то выпил, что-то съел,
И бедняга околел.

(Припев)  "
Екатерина,"Ночь за окном, хлещет дождь и молнии сверкают,
Лужи кругом, не проехать, не пройти,
Милая, я вас совсем не понимаю,
Ну почему так стремитесь вы уйти?

Припев:

Прошу вас, о Екатерина, останьтесь этой ночью у меня,
Останьтесь или вам противна неубранная комната моя?
Прошу вас только не молчите, я так устал от этой тишины...
Меня общенью с Вами научите, учтите, что я писаюсь в штаны.

Мне - одиночество, вам - в ночи дорога,
Разве не можем мы этого избежать?
Времени до утра не так уж много
Думаю, стоит ненастье переждать.

(Припев)

Знаете что, разупрямая красотка,
Хватит уходом своим мне угрожать!
Если вам нравится мерзкая погодка,
Можете плыть, а я просто лягу спать!

(Припев)  "
Прерванная любовь,"Молча брожу я средь полей
Тоскую, грущу о даме своей,
Как дорога она мне была,
И без нее мне жизнь не мила.
Помню тот день я, как сейчас,
Сели за стол десятый был час,
Ласково нам светила луна,
Даме своей налил я вина.

Стали мы с ней при свечах танцевать,
Старался ее я покрепче обнять,
Магнитофон сладко нам пел,
Я хмельную ее душой и телом хотел.
На пол упало платье ее,
Застучало в груди сердце мое,
В волосы я ей страстно дышал,
Взгляд ее нежный меня сокрушал.

И вот тогда случилась беда,
Мне этот миг не забыть никогда.
На арбузную корку наступила она
И... хлоп головой об угол стола,
Вместе с ней падал и я
Вывихнул руку, но это фигня.
Долго ее я жить умолял,
Арбузную корку я в сердцах проклинал.  "
Голые коки,"Не надо меня утешать, это мне не поможет.
Любимая девушка очень жестоко обидела.
Стыдливое чувство меня беспрестанно тревожит
Она меня с голыми коками взяла и увидела.

Припев:

Голые коки, голые коки,
Голые коки, голые коки.

""Неслыханный вздор!"" - говорят мне друзья и соседи:
""Для женщин подобное зрелище не безобразно!
Стыдятся подобных вещей лишь наивные дети.
А, в сущности, голые коки - это прекрасно!""

(Припев)

Но этот вопрос понимаю гораздо я глубже,
Когда бы все начали коки показывать дружно,
Девчонки бы вскоре от этого вида устали
И к кокам тогда б относится бестрепетно стали!

Припев:  "
Забытые ботинки,"Уставшим путником войду в твою я спальню.
Без приглашения, тайком, без лишних слов.
Возле тебя я сяду тихо на диване
И пожелаю необычных, сладких снов.
Зажгу свечу я, но будить тебя не стану,
Не отрываясь, буду пристально смотреть.
И этот миг мне силы даст, залечит мои раны,
И он сумеет сердце мне согреть.

Припев:

Дальний путь зовет меня, но уйти я не могу,
Возвращаюсь снова я, твой облик в сердце берегу.

А в полночь выйду я на лунную дорогу,
Простившись навсегда с любимою своей
Тоска оставь меня, глупа ты и убога.
Ты не подруга светлой памяти моей.
Когда проснешься ты, найдешь мои ботинки
Те, что случайно я оставил у тебя
А в чем ушел же он? себя ты спросишь тихо.
В чем я ушел? И сам того не знаю я!

(Припев)

Босые ноги возвратят меня обратно.
Куда деваться - отморожена ступня!
Мне быть навязчивым не очень-то приятно,
Возьму ботинки и уйду тотчас же я.
И вновь иду задумчивый по лунной я дороге,
И дом твой вновь остался за моей спиной.
Ботинки на ногах, но мерзнут мои ноги...
Забыл штаны... О нет... О, Боже мой!  "
Если Мясо Мужики,"За столом сидели, мужики и ели -
Мясом конюх угощал своих гостей.
Все расхваливали ужин и хозяин весел был,
О жене своей все время говорил!

Припев:
Ели мясо мужики, пивом запивали!
О чем конюх говорил, они не понимали!

""Я узнал недавно, все вы, как ни странно, -
Конюх хриплым голосом проговорил,-
С моей бабою встречались в тайне от меня
И поэтому всех вас собрал сегодня Я!""

Припев:
Ели мясо мужики, пивом запивали!
О чем конюх говорил, они не понимали!

Я за ней не уследил!
В том моя вина!
Но скажите,
Правда вкусная она?

Припев:
Ели мясо мужики, пивом запивали!
О чем конюх говорил, они не понимали!   "
Леший обиделся,"В ночном лесу костер горел,
А у костра усталый дедушка сидел.
Трогал усы, трубку курил,
О чем-то тихо сам с собою говорил.

И в тот же миг раздался крик,
Схватив дубину, поспешил на зов старик.
От боли корчась, парень в кустах лежал,
И озирался и от страха весь дрожал.

Припев:

""Дедушка, милый, спаси меня!
В капкан угодила нога моя!""
Но почему в ответ, брови нахмурил дед?
Брови сурово нахмурил дед!

Старик курил и говорил:
""Ты мне серьезную обиду причинил.
Как смел ты этой ночью в мой лес ходить?
О страшном лешем так бесстыдно позабыть?!""

(Припев)

""Погибель тебя ждет,
Коль ты со мною повстречался!
Ведь больше не живет, тот зверь,
Что в мой капкан попался!""

Парень вскочил и помчался прочь,
Дико кричал, проклиная ночь.
Падал одежду рвал, снова вставал бежал.
Вместе с капканом, аж до самого дома!  "
Пьеса,Инструментальная композиция
Камнем по голове,"В провинциальном городке
Был праздник, музыка звучала,
Но вот в ликующей толпе
Возник зловещий лик бродяги...
Он шел, как будто бы один,
Толпа его не замечала.
И как-то странно на него
Смотрели местные собаки...

Припев:

В черном цилиндре, в наряде старинном,
В город на праздник путник очень спешил.
По горам пробирался и улыбался,
Но камень сорвался в пропасть с горных вершин...

Был грязный плащ на нем одет,
Цилиндр черный смят в гармошку,
Себе под ноги он глядел,
А в кулаке сжимал он маску.
Но кто-то крикнул вдруг: ""Привет!
Повеселился б ты немножко.
В такой веселый светлый день
Как можно быть таким несчастным?""

(Припев)

И проходимец поднял взгляд,
И злобным голосом ответил:
""Я всех замучить был бы рад
И от того я так невесел.
Я в маске рыжей обезьяны
На праздник к вам попасть мечтал,
Когда б не камень окаянный,
Что мне на голову упал!""

(Припев)  "
Дед на свадьбе,"Близится гулянка к завершенью, 
Закончен пир за праздничным столом.
Сидит старик в неведомом томленьи
И смотрит, как светает за окном.
Вошла невеста, и на ней повис жених,
Старик лениво переводит взгляд на них.
Затем смеётся он: ""Никак в канаве был?""
Всех мужиков на свадьбе деда перепил.

Припев:
И старику невеста отвечает,
От жениха глаза не отводя:
""Он перебрал, ну с кем такого не бывает.
Я помню и тебя, я помню и тебя твоя старуха волокла"".

Гости спят на лавках за столами,
Не с кем старику поговорить.
Пол завален пьяными телами,
Он решил себе ещё налить.
Затем он открывает свой беззубый рот,
И хриплым голосом он песенку поёт.
Слова такие: ""Где ж вы, деды и отцы?""
В ответ на кладбище завыли мертвецы.

Припев:
И старику невеста отвечает,
От жениха глаза не отводя:
""Он перебрал, ну с кем такого не бывает.
Я помню и тебя, я помню и тебя твоя старуха волокла"".

А наутро началось похмелье,
Чёрти что творится в головах.
У гостей последствия веселья,
Но водки не осталось в погребах.
""Всё выпил дед!"" - воскликнул кто-то сгоряча,
А после в ужасе попятился назад.
Невеста вздрогнула, в испуге бормоча:
""А ведь он умер десять дней тому назад...""

Припев:
И старику невеста отвечает,
От жениха глаза не отводя:
""Он перебрал, ну с кем такого не бывает.
Я помню и тебя, я помню и тебя твоя старуха волокла"".

""Он перебрал, ну с кем такого не бывает.
Я помню и тебя, я помню и тебя твоя старуха волокла"".  "
Запрет отца,"Суров запрет сердитого отца,
Он не велит ей замуж выходить.
Но перед нею образ молодца,
Она его не может разлюбить.

Исчезновенье парня на селе
Родило в ней тревогу и печаль.
В тот день её отец повеселел,
Пропавшего в лесу ему не жаль.

Спустилась ночь, погасли фонари.
Девица в доме не смыкает глаз.
Вдруг слышит она шорох у двери.
Но кто решил явиться в этот час?

Гремят знакомые тяжёлые шаги,
Вот тьме застыл отцовский силуэт.
В руках мешок, торчат оттуда сапоги.
""Его загрызли волки, его больше нет"".

К мешку девица тихо подошла.
""Я не могу поверить в этот вздор"".
И мертвеца внутри она нашла,
Из головы его торчал большой топор!

""Ты только, дочка, батьку не брани, 
Он бы не смог, поверь мне, дальше жить.
Он был в ужасных ранах и лежал в крови,
Я пожалел беднягу и решил добить"".  "
Кузнец,"По селу промчался слух, 
Будто деду-кузнецу
Ночью выпустили дух,
Дав кувалдой по лицу.

Трудно узнать было его.
От головы не осталось ничего!

Разбирая свою печь, 
Кузнец за нею увидал
Панцирь, латы, шлем и меч,
Драгоценным был металл.

Он о таком не думал - не гадал,
А его ученик рядышком стоял.

Знать о находке моей
Не должен никто из людей.

Чтобы людям ничего
Ученик не рассказал, 
Задушил кузнец его
И в доспехи заковал.

Туркам кузнец рыцаря продал,
Был очень рад, денежки считал.

Но очнулся ученик
У султана во дворце
Вспомнил парень в тот же миг
О мерзавце кузнеце.

Латы прочные не снять
Чувство мести сердце жгло
Из дворца ему бежать
Только чудо помогло

Вряд ли бы кто мог 
Представить хоть чуть-чуть,
Как был непрост
Его обратный путь.

По селу промчался слух, 
Будто деду-кузнецу
Ночью выпустили дух,
Дав кувалдой по лицу.  "
Разговор с гоблином,"Работники ножа и топора
Пили брагу с ночи до утра.
Но какой-то гоблин выбежал из леса,
Сел за стол и заявил:
""Никогда с крутыми я не пил!""

Припев:
""Твои слова ненужный хлам!
Мы будем лучше пить и есть!
Твоя одежда сразу нам
Сказала, кто ты есть!""

""Я и мой народ живём в горах!
Я парень - будь здоров! В своих кругах.
Мне нельзя хамить и надо мной шутить, 
Со мной нельзя играть!
Поверьте, я, как вы, умею обижать!""

Припев:
""Твои слова ненужный хлам!
Мы будем лучше пить и есть!
Твоя одежда сразу нам
Сказала, кто ты есть!""

""Послушай гоблин, ты много болтаешь!
Молись своим богам!""
""Но я же как один из вас!""
""Не беспокойся, тебе отрежут голову, а потом отпустят!""
""Пидорасы!""

""Сюда явился гоблин сам!
И будет чем заняться нам!
Он не зря проделал путь, 
В бочке с брагой ему тонуть!""

И наступил веселья час,
И гоблин в бочку с выпивкой попал!
И он выныривал не раз, 
Но по макушке палкой получал!

Припев:
""Твои слова ненужный хлам!
Мы будем лучше пить и есть!
Твоя одежда сразу нам
Сказала, кто ты есть!
Мы будем лучше пить и е-е-есть!""  "
"Вор, Граф и Графиня","Ночью воры влезли в музей,
И один другому сказал:
""Ты, брат, бери, что хочешь, только скорей,
А я сгоняю пока в тронный зал, я мигом!""

Припев:
И остался вор один
Средь старинных скульптур и картин,
И видит он ту графиню, что с доблестным мужем
На картине,
Вся в нарядах,
В платье синем.

Вор, подумав, нож свой достал.
И графиню от мужа он отделил.
И с улыбкой графу сказал:
""Твою супругу я полюбил, не гневайся!""

Припев:
И остался вор один
Средь старинных скульптур и картин,
И видит он ту графиню, что с доблестным мужем
На картине,
Вся в нарядах,
В платье синем.

Лишь только покинули воры музей,
Как с картины сошёл разгневанный граф.
И в тёмном парке настиг он друзей,
Обидчика к дереву крепко прижал:

""Ну что, попался, разбойник, 
Я тебя проучу!
Хотел, проклятый, меня разлучить ты с женой!
И в наказанье тебя я с собой утащу,
Навечно ты будешь у меня под ногой!""

Стоит графиня на картине,
Обнимает мужа своего.
И благородный граф вдаль взгляд направил свой,
И плачет бедный вор под его ногой.  "
Что видел малыш,"От козы пахло сеном и молоком,
На неё забирался пацан верхом.
У калитки сидели на лавочке несколько баб.
Бес костей языки, уши лопухи,
Куча сплетен и всяческой чепухи.
И пацан оказался слаб - начал их слушать!

Оказалось что крёстный у пацана -
После свадьбы своей он сошёл с ума
И едва не повесилась баба его от стыда
Вот такая беда и теперь всегда
Держит в грязном хлеву мужика жена
Сеном кормит его она и отрубями.

Припев:
И видит малыш как колышется слабо
Неяркая лампа в хлеву и рука
Сжимает замок и печальная баба
Сажает на цепь своего мужика.

А старуха, что в домике за рекой
Перед тем, как отправиться на покой,
Трёх зятьёв заколола своей деревянной клюкой.
А у фермы живёт паренёк такой, 
Что быка поднимает одной рукой,
Это ж надо, какой лихой! Нет его крепче!

Припев:
И видит малыш как слепая старуха
Клюкой пригвоздила к стене мужика.
И как паренёк богатырского духа 
Под мышкой корову несёт и быка!

Нет того, кто б в селе лесника не знал,
И в лесу деда этого не встречал.
Только вот чудака никому из людей не понять!
Он зверей собирал, говорил, играл,
Он их понимал и всегда считал -
Может заяц похожим стать на человека!

Припев:
И видит малыш: замечательный танец
Танцует с животными дед у холма.
И как человеком становится заяц...
На этом бедняга свихнулся с ума.  "
Невеста Палача,"Скрыть печаль свою стараясь, 
Палач нахмурил лоб сердито.
Но трактирщик понял - 
Сердце палача разбито.

""Не привык таким я
здесь тебя, приятель, видеть!
Что стряслось, скажи мне!
Клянусь, лишь дьявол мог тебя обидеть!""

Припев:
""Правосудию я верил, 
Но теперь в нём нет мне места!
Умерла моя подруга детства!
Палача невеста!""

От меня она скрывала
Свои жуткие мученья.
Толпа вокруг кричала, 
Им хотелось развлеченья.

Припев:
""Правосудию я верил, 
Но теперь в нём нет мне места!
Умерла моя подруга детства!
Палача невеста!""

Жизнь - игра со смертью!
Где святость - там и грех!
Бил её я плетью, 
Хотя считал её я лучше всех!

Припев:
""Правосудию я верил, 
Но теперь в нём нет мне места!
Умерла моя подруга детства!
Палача невеста!""

Слово ""ведьма"" вызывало
В людях злобу и жестокость!
На костре она сгорала,
И душа её летела в пропасть...

Припев:
""Правосудию я верил, 
Но теперь в нём нет мне места!
Умерла моя подруга детства!
Палача невеста!""  "
Мастер приглашает в гости,"Вечером к столу мастер пригласил
Верного слугу и его спросил -
""Сколько раз ты, встречая моих гостей,
никого никогда за дверь не провожал?
И ты поймёшь теперь, что я в тайне держал.

Припев:
В те дни, когда я в настроении бываю,
Сидя у огня, черепа перебираю"".

Преданный слуга улыбнулся тут:
""Я любил всегда свой нелёгкий труд!
По ночам сижу, за ножом слежу, 
Фигурки вырезаю из костей,
С ремеслом дружу, обожаю гостей!""

Припев:
В те дни, когда я в настроении бываю,
Сидя у огня, черепа перебираю"".
Все те, кто не прочь поразмять немного кости - 
Вас ждут в эту ночь - мастер приглашает в гости!  "
Бродяга и Старик,"Ступил бродяга на крыльцо и постучался в дверь - 
""Гостям я рад!"" - сказал старик, ""но, парень, мне не верь!
Ты будешь сыт и отдохнёшь у деда на печи!""
""Должно быть, дед, ты это врёшь!""
""Ну, милый, не взыщи!""

Бродяга сел на жёсткий стул - ""Четвёртый день в пути!
Ты, дед, со мною не шути, согрей и приюти!""
""Не смею гостю отказать, что хочешь - то проси!
А лучше в погреб полезай, картошки принеси!""

""Я стар, ходить мне тяжело"" - сказал он парню вслед.
Закрылась дверь, и в тот же миг расхохотался дед.
Очнувшись в погребе сыром, бродяга застонал.
Об пол гранитный головой он с лестницы упал!

Припев:
В комнате тепло, уютно, всюду чистота!
Хочет дед себе устроить праздник!
Из под стула достаёт он чёрного кота:
""Как дела, усатый мой проказник!""

И кровь стекает по лицу из ссадины на лбу.
""Но почему привязан он верёвками к столбу?""
""Ты не умрёшь"" - сказал старик, затачивая нож.
Но парень опустил глаза, он понял - это ложь...

Припев:
В комнате тепло, уютно, всюду чистота!
Хочет дед себе устроить праздник!
Из под стула достаёт он чёрного кота:
""Как дела, усатый мой проказник!""  "
Смерть Халдея,"Сидел с улыбкой он в кабаке,
И кружку пива держал в руке.
Халдей лукаво его спросил:
""Что веселишься - иль перепил?""

Припев:
""Я не случайно здесь оказался,
Труден был мой путь!
И от желанья не отказался 
Выпить что-нибудь!
Но твоя болтовня 
Совершенно не радует меня...""

Халдей подумал и вновь спросил:
""Я что-то смысла не уловил.
Что означают слова твои?
А ну ещё раз их повтори!""

Припев:
""Я не случайно здесь оказался,
Труден был мой путь!
И от желанья не отказался 
Выпить что-нибудь!
Но твоя болтовня 
Совершенно не радует меня...""

""Нет сил, приятель, душа болит!
Быть может, пуля всё повторит!
Наверно, я бы и поболтал!""
Раздался выстрел - халдей упал.

Припев:
""Я не случайно здесь оказался,
Труден был мой путь!
И от желанья не отказался 
Выпить что-нибудь!
Но твоя болтовня 
Совершенно не радует меня...""  "
Помнят с горечью Древляне,"Помнят с горечью древляне, хоть прошло немало лет,
О романтике Демьяне, чей лежит в лесу скелет.
Жаль, никто ему не верит, хоть захватывало дух
От его былин о фее - повелительнице мух.

К этой фее был романтик полон страсти и любви,
Чувства ей хотел он выразить свои!
Чувства выразить свои!

В час, когда он видел фею, начинал ей повторять:
""Жизнь свою не пожалею за твою любовь отдать!""
Все застыли в изумленье, лишь народ о том узнал, 
Что Демьян по воле феи поклоняться мухам стал!

Романтик идола в овраге сотворил,
Ему он жертвы приносил!

К этой фее был романтик полон страсти и любви,
Чувства ей хотел он выразить свои!
Чувства выразить свои!

Ай, люди, мухам поклоняться нужно нам, 
А не языческим богам!
Я, братцы, до того, как фею полюбил, 
По сути, безнадёжным был!

Не знал романтик, что она 
Для любви не рождена.
И не безгрешен сам он был,
Он тоже мух когда-то бил.

Летели мухи на него со всех сторон,
Был ритуально скушан он...  "
Про Ивана,"В деревушке у реки как-то стали мужики
Спорить, кто из них мудрей.
Мимо старец проходил: ""Тот умнее,"" - говорил,
""У кого усы длинней"".

Решено! Отныне будет так!
Всех умней у нас Иван-дурак.
Меньше хвост у кумушки-лисы,
Чем у Ивана усы!

На печи Иван сидел, сверху он на всех глядел.
Пироги с капустой ел.
Ну а после говорил: ""Ум всегда со мною был,
Я им хвастать не хотел!

А теперь скажу я вам, друзья,
Жить, как раньше, больше нам нельзя!
С вами, право, можно одичать.
Пора веселиться начать!

Что ни день, Дурак-Иван всё веселье затевал:
""Жить давайте без забот!""
Всё б ничего, да вот беда - вскоре кончилась еда,
Никто работать не идёт!

Время шло, народ оголодал,
И Иван без крошки пропадал.
А когда смекнули, что к чему - 
Усы оторвали ему!  "
Воспоминания о былой любви,Инструментальная композиция
Сапоги Мертвеца,"Пьяный дровосек тащился по лесу,
Встали у него вдруг дыбом волосы.
Увидел он мертвеца в траве некошеной
В новых сапогах, почти не ношенных.
""Эх, я возьму их себе.
Как они будут на мне?""
И пришёл он радостный домой:
""Поскорей, сестра, мне дверь открой!
Посмотри что на моих ногах,
Посмотри, в каких я сапогах!""
Радуется брат,
Сестра тревожится.
Наступает ночь - она все молится:
""Не могу уснуть, болит головушка!
Принесет беду твоя обновушка,
Зря братец снял сапоги
С мертвой холодной ноги!""
И раздался голос за окном:
""Открывай мужик мне дверь добром!
Я пришел обратно получить
То, что смел ты утром утащить!""
И раздался голос за окном:
""Открывай мужик мне дверь добром!""
А мужик схватился за топор
И проворно выбежал во двор.
Дровосек избегал все вокруг,
Никого не встретил он и вдруг -
Вдруг увидел дома на полу
В сапогах убитую сестру...  "
Два Друга и Разбойники,"Два друга шли домой 
Дорогой ночной.
Вдруг разбойники из леса 
Вышли целою толпой.
Один парень зарыдал, на колени упал:
""Ох не троньте вы меня 
Все для вас исполню я!""
И сказал атаман, руки сунув в карман:
""Вот нож, вот возьми его,
Коль хочешь жить -
Убей друга своего!""
И вот раздался крик, 
И в грудь вонзился нож.
Атаман в тот же миг 
Тихо произнес: ""Ну что ж,
Взять мерзавца!
Его свяжите!
Киньте в яму вместе с трупом!""
Странным был приказ,
Но все же в тот же час 
Убийцу и мертвеца,
Их усадили там лицом напротив лица.

Два друга шли домой 
Дорогой ночной.
Вдруг разбойники из леса 
Вышли целою толпой.  "
Мотоцикл (live),"Злился подо мной мотоцикл мой,
Ночью он мчал меня домой.
Глядя на поля, не заметил я,
Что кто-то чешет прямо на меня.

Припев:

И раздался крик во мгле,
Кровь в лицо попала мне!
Кто-то сзади голосил,
А я гнал, что было сил!

Тот ужасный крик все звучал в ушах моих,
Но я все дальше уезжал.
Что ж я натворил, я же человека сбил,
Но он проехать мне мешал.

(Припев)

Утром, сам не свой, прибыл я домой,
И, лишь зажег я в спальне свет.
Хочешь - верь, не верь, на кровати на моей
Лежал кровавый человек.

(Припев)  "
Кукла Колдуна,"Темный, мрачный коридор,
Я на цыпочках, как вор,
Пробираюсь, чуть дыша,
Чтобы не спугнуть
Тех, кто спит уже давно,
Тех, кому не все равно,
В чью я комнату тайком
Желаю заглянуть,
Чтобы увидеть...

Припев:

Как бессонница в час ночной
Меняет, нелюдимая, облик твой,
Чьих невольница ты идей?
Зачем тебе охотиться на людей?

Крестик на моей груди,
На него ты погляди
Что в тебе способен он
Резко изменить
Много книжек я читал,
Много фокусов видал
Свою тайну от меня не пытайся скрыть!
Я это видел!

(Припев)

Очень жаль, что ты тогда мне поверить не смогла,
В то, что новый твой приятель не такой как все!
Ты осталась с ним вдвоем,
Не зная ничего о нем...
Что для всех опасен он, наплевать тебе
И ты попала!

Припев:

К настоящему колдуну,
Он загубил таких как ты, не одну!
Словно куклой, в час ночной
Теперь он может управлять тобой!

Все происходит как в страшном сне.
И находиться здесь опасно мне!  "
От женщин кругом голова,"- Душа моя тоски полна,
Ах, сжалься, незнакомец милый.
Я здесь одна, совсем одна,
Прошу, спаси меня, помилуй.

Когда б меня ты развязал,
Тебя б всем сердцем полюбила,
Неужто каменный подвал
Навечно будет мне могилой?!

- От женщин кругом голова,
Влюбись - хлопот не оберешься,
А что любовь - одни слова.
И толку вряд ли с них добьешься!

Припев:

Как говорил папаша мой:
""Последним делом бабу слушать!"".
Пойду-ка, лучше я домой -
Желудок стонет, просит кушать!  "
Любовь и пропеллер (live),"Он печален был, он ее любил,
Но на все ему отказ, что б он не попросил.
С горя он тогда пропеллер смастерил,
Как получилось - сам не понял!

Как-то вышел он на луг и увидел вдруг:
На краю утеса она молча смотрит вдаль.
Охватила тут юношу печаль,
И, разбежавшись, вниз он прыгнул...

Припев:

И с утеса вниз парень полетел,
И завыл залетный ветер,
Гибели его свидетель.

Плакала она и его звала,
Укоряла и бранила девушка себя:
""Ах, какая я бестолковая!
Ну почему в нем сомневалась?!""

(Припев)

И в тот самый миг юноша возник,
И с улыбкой над утесом в воздухе повис.
И воскликнул он: ""Милая, сюрприз!"".
Но вдруг заглох его пропеллер...

(Припев)  "
Валет и Дама (live),"Шёл с улыбкой здоровяк по ночному парку.
И у тихого пруда повстречал гадалку.
Обратился парень к ней: ""Вот что знать хочу я -
Сколько мне осталось дней? Как, скажи, умру я?""

Припев:
И упали карты на снег, и старуха парню сказала
Сквозь хриплый смех:
""Весь в крови несчастный Валет, а над ним ужасная Дама
С ножом в руке!""

И воскликнул здоровяк, руки потирая:
""Что ты хочешь мне сказать, я не понимаю.""
И блеснул во мраке нож, и раздался хохот:
""Прямо щас и прямо здесь будет тебе плохо!""

Припев:
И упали карты на снег, и старуха парню сказала
Сквозь хриплый смех:
""Весь в крови несчастный Валет, а над ним ужасная Дама
С ножом в руке!""

На тело ведьма покосилась,
И в неизвестном направленьи 
Скрылась!  "
Ведьма и Осёл,"В детстве цыганка мне одна
Предсказала будто я,
Если сильно полюблю,
То любимого сгублю,
Что измены не прощу
И жестоко отомщу:
Не специально, но со зла
Превращу его в осла.

Он очень милым парнем был,
Но зачем он изменил?
И тогда все началось,
Предсказание сбылось,
И внезапно над собой
Потеряла я контроль
И несчастный стал стонать,
Серой шерстью обрастать.

Припев:

Ведьма я, эх, ведьма я,
Такая вот нелегкая судьба моя,
Силой я наделена,
Но на беду любовь моя обречена.

И мой любимый навсегда
Жить остался у меня.
И за мною по пятам
Он ходил и тут и там.
Замечала я порой,
Как страдает милый мой,
И жалела я осла -
На лугу его посла.

Я все хотела как-нибудь
Облик милого вернуть,
Я старалась, как могла,
Но ничем не помогла.
Он копытами стучал,
По ослиному кричал,
И хвостом своим вертел,
Человеком быть хотел...

(Припев)

Лишь понял он, что обречен
До заката своих дней
Быть страдающим ослом
Под опекою моей,
И в итоге, наконец,
Он приблизил свой конец:
Что-то выпил, что-то съел,
И бедняга околел.

(Припев)  "
Забытые Ботинки,"Уставшим путником войду в твою я спальню.
Без приглашения, тайком, без лишних слов.
Возле тебя я сяду тихо на диване
И пожелаю необычных, сладких снов.
Зажгу свечу я, но будить тебя не стану,
Не отрываясь, буду пристально смотреть.
И этот миг мне силы даст, залечит мои раны,
И он сумеет сердце мне согреть.

Припев:

Дальний путь зовет меня, но уйти я не могу,
Возвращаюсь снова я, твой облик в сердце берегу.

А в полночь выйду я на лунную дорогу,
Простившись навсегда с любимою своей
Тоска оставь меня, глупа ты и убога.
Ты не подруга светлой памяти моей.
Когда проснешься ты, найдешь мои ботинки
Те, что случайно я оставил у тебя
А в чем ушел же он? себя ты спросишь тихо.
В чем я ушел? И сам того не знаю я!

(Припев)

Босые ноги возвратят меня обратно.
Куда деваться - отморожена ступня!
Мне быть навязчивым не очень-то приятно,
Возьму ботинки и уйду тотчас же я.
И вновь иду задумчивый по лунной я дороге,
И дом твой вновь остался за моей спиной.
Ботинки на ногах, но мерзнут мои ноги...
Забыл штаны... О нет... О, Боже мой!  "
